position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_records,n_prompt_clusters,reportable
step_0,position 0,GOV-REGISTER,late_given_pt,0.375,,,3,3,False
step_0,position 0,GOV-REGISTER,late_given_it,0.3333333333333333,,,3,3,False
step_0,position 0,SAFETY,interaction,1.6751644736842106,1.171032072368421,2.2253289473684212,76,76,True
step_0,position 0,SAFETY,late_given_pt,1.658717105263158,1.2055509868421053,2.1053042763157888,76,76,True
step_0,position 0,SAFETY,late_given_it,3.3338815789473686,2.7071134868421054,3.9876850328947366,76,76,True
step_ge1,positions >=1,ALL,interaction,1.2299342105263158,1.084046966374269,1.3823309576023388,855,855,True
step_ge1,positions >=1,ALL,late_given_pt,0.8421783625730994,0.7230902777777778,0.96609649122807,855,855,True
step_ge1,positions >=1,ALL,late_given_it,2.072112573099415,1.8640286915204678,2.2859649122807015,855,855,True
step_ge1,positions >=1,BASELINE-EASY,interaction,2.183531746031746,1.7063244047619046,2.6845486111111105,63,63,True
step_ge1,positions >=1,BASELINE-EASY,late_given_pt,0.2509920634920635,0.011904761904761904,0.5148809523809523,63,63,True
step_ge1,positions >=1,BASELINE-EASY,late_given_it,2.4345238095238093,1.9751736111111111,2.9613839285714274,63,63,True
step_ge1,positions >=1,CONTENT-FACT,interaction,1.9405021834061136,1.5616675764192138,2.3217794759825328,229,229,True
step_ge1,positions >=1,CONTENT-FACT,late_given_pt,1.0810589519650655,0.7786572052401747,1.4148676310043664,229,229,True
step_ge1,positions >=1,CONTENT-FACT,late_given_it,3.021561135371179,2.3987172489082966,3.695694596069869,229,229,True
step_ge1,positions >=1,CONTENT-REASON,interaction,1.371811224489796,0.8635044642857143,1.9247608418367346,98,98,True
step_ge1,positions >=1,CONTENT-REASON,late_given_pt,1.3246173469387754,0.8552136479591838,1.9031887755102024,98,98,True
step_ge1,positions >=1,CONTENT-REASON,late_given_it,2.6964285714285716,2.0931122448979593,3.3495535714285705,98,98,True
