condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_ctrl_rotated_b0,exp3_reasoning_em,contains_em,0.235,200,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,format_compliance_v2,compliance_rate,0.26136363636363635,176,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,mmlu_forced_choice,accuracy,0.48,300,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,structural_token_ratio,ratio,0.0242737022424762,1400,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,exp3_reasoning_em,contains_em,0.2,200,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,format_compliance_v2,compliance_rate,0.2848101265822785,158,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,mmlu_forced_choice,accuracy,0.23,300,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,structural_token_ratio,ratio,0.16338969004037782,1400,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,exp3_alignment_behavior,behavior_match,0.5,150,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,exp3_reasoning_em,contains_em,0.025,200,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,format_compliance_v2,compliance_rate,0.35555555555555557,135,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,mmlu_forced_choice,accuracy,0.19,300,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,structural_token_ratio,ratio,0.5113477413573435,1400,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
