level,model,pipeline,side,host_variant,donor_variant,baseline_pipeline,window_name,start_layer,end_layer_exclusive,width,center,region,metric,estimate,ci95_low,ci95_high,n_pairs,n_prompt_clusters,n_models,models
model,mistral_7b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,19,32,13,25.0,final_20pct,kl_to_own_final,-0.652155933542538,-0.6651751263288491,-0.6387410959193974,65388,600,,
model,mistral_7b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,19,32,13,25.0,graft_window,kl_to_own_final,-1.0549962075540655,-1.0743186226246408,-1.0370315379856905,65388,600,,
model,mistral_7b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,25,32,7,28.0,final_20pct,kl_to_own_final,-0.3973368555413034,-0.40568433818573124,-0.38915976203485886,65388,600,,
model,mistral_7b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,25,32,7,28.0,graft_window,kl_to_own_final,-0.3973368555413034,-0.4064125760914518,-0.38842126209386374,65388,600,,
model,mistral_7b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,12,19,7,15.0,final_20pct,kl_to_own_final,-0.14633066437618494,-0.15868065333041734,-0.13446246941842163,65388,600,,
model,mistral_7b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,12,19,7,15.0,graft_window,kl_to_own_final,-0.025937565332557914,-0.05701645565512442,0.005794466240047483,65388,600,,
model,mistral_7b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,28,32,4,29.5,final_20pct,kl_to_own_final,-0.2581217914839398,-0.26384454698799625,-0.25240317676315316,65388,600,,
model,mistral_7b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,28,32,4,29.5,graft_window,kl_to_own_final,-0.11833424894051836,-0.12161553199846352,-0.11526326110305876,65388,600,,
model,olmo2_7b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,22,29,7,25.0,final_20pct,kl_to_own_final,0.0177023342843165,0.011982655239146272,0.02343472681606028,53221,600,,
model,olmo2_7b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,22,29,7,25.0,graft_window,kl_to_own_final,0.10367021362688283,0.09448674305713828,0.11354524655526897,53221,600,,
model,olmo2_7b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,19,26,7,22.0,final_20pct,kl_to_own_final,0.005964958695680788,-0.0002473930292870435,0.012248878856753938,53221,600,,
model,olmo2_7b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,19,26,7,22.0,graft_window,kl_to_own_final,0.17428372827167976,0.1633185614025009,0.18595949784990307,53221,600,,
model,olmo2_7b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,19,32,13,25.0,final_20pct,kl_to_own_final,-0.09736074021269506,-0.1116300210301627,-0.08336172167228878,53221,600,,
model,olmo2_7b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,19,32,13,25.0,graft_window,kl_to_own_final,0.03322967618760814,0.011788074534796654,0.05461708376832141,53221,600,,
model,olmo2_7b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,25,32,7,28.0,final_20pct,kl_to_own_final,-0.11231660574356127,-0.12415412689016472,-0.1011828440197287,53221,600,,
model,olmo2_7b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,25,32,7,28.0,graft_window,kl_to_own_final,-0.11231660574356127,-0.12439954389713999,-0.1003807851726913,53221,600,,
model,olmo2_7b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,12,19,7,15.0,final_20pct,kl_to_own_final,0.029945620073392593,0.02116113773988175,0.03859577649985427,53221,600,,
model,olmo2_7b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,12,19,7,15.0,graft_window,kl_to_own_final,0.1709109730046948,0.1505283940786238,0.19089139203696215,53221,600,,
model,olmo2_7b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,28,32,4,29.5,final_20pct,kl_to_own_final,-0.11951866347671199,-0.13061136731365156,-0.10739232797064714,53221,600,,
model,olmo2_7b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,28,32,4,29.5,graft_window,kl_to_own_final,-0.07598132696600149,-0.08382545466295456,-0.06892767010030287,53221,600,,
model,olmo2_7b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,22,29,7,25.0,final_20pct,kl_to_own_final,-0.06929127644531564,-0.0805675802105715,-0.05856330806298241,53221,600,,
model,olmo2_7b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,22,29,7,25.0,graft_window,kl_to_own_final,-0.18187919253463236,-0.1985088387328184,-0.16553437972081214,53221,600,,
