condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randmatched_alpha_3,structural_token_ratio,ratio,0.07336941336719803,1400,A1_rand_matched,directional_random_matched,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_5,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched,directional_random_matched,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_5,exp3_reasoning_em,contains_em,0.08,200,A1_rand_matched,directional_random_matched,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_5,format_compliance_v2,compliance_rate,0.4175824175824176,182,A1_rand_matched,directional_random_matched,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_5,mmlu_forced_choice,accuracy,0.36666666666666664,300,A1_rand_matched,directional_random_matched,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_5,structural_token_ratio,ratio,0.20069042600423265,1400,A1_rand_matched,directional_random_matched,5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_baseline,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched,none,1.0,0.0,[]
A1randmatched_baseline,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched,none,1.0,0.0,[]
A1randmatched_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched,none,1.0,0.0,[]
A1randmatched_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched,none,1.0,0.0,[]
A1randmatched_baseline,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched,none,1.0,0.0,[]
