layer_range,alpha,benchmark,value,condition
20-33,1.5,mmlu_forced_choice,0.49666666666666665,A1_alpha_1.5
20-33,2.0,mmlu_forced_choice,0.5,A1_alpha_2
20-33,3.0,mmlu_forced_choice,0.49,A1_alpha_3
20-33,5.0,mmlu_forced_choice,0.42,A1_alpha_5
22-33,-5.0,mmlu_forced_choice,0.4666666666666667,A1_alpha_-5
22-33,-3.0,mmlu_forced_choice,0.52,A1_alpha_-3
22-33,-2.0,mmlu_forced_choice,0.5,A1_alpha_-2
22-33,-1.0,mmlu_forced_choice,0.5,A1_alpha_-1
22-33,-0.5,mmlu_forced_choice,0.49,A1_alpha_-0.5
22-33,0.0,mmlu_forced_choice,0.5,A1_alpha_0
22-33,0.25,mmlu_forced_choice,0.5066666666666667,A1_alpha_0.25
22-33,0.5,mmlu_forced_choice,0.5033333333333333,A1_alpha_0.5
22-33,0.75,mmlu_forced_choice,0.51,A1_alpha_0.75
22-33,1.0,mmlu_forced_choice,0.5066666666666667,A1_alpha_1
22-33,1.5,mmlu_forced_choice,0.49666666666666665,A1_alpha_1.5
22-33,2.0,mmlu_forced_choice,0.5,A1_alpha_2
22-33,3.0,mmlu_forced_choice,0.5,A1_alpha_3
22-33,5.0,mmlu_forced_choice,0.48333333333333334,A1_alpha_5
18-33,-5.0,structural_token_ratio,0.2850959272494206,A1_alpha_-5
18-33,-3.0,structural_token_ratio,0.1857469676221593,A1_alpha_-3
18-33,-2.0,structural_token_ratio,0.1297108677451872,A1_alpha_-2
18-33,-1.0,structural_token_ratio,0.045929826570459326,A1_alpha_-1
18-33,-0.5,structural_token_ratio,0.06380410152141047,A1_alpha_-0.5
18-33,0.0,structural_token_ratio,0.0585176070354181,A1_alpha_0
18-33,0.25,structural_token_ratio,0.051779180577366475,A1_alpha_0.25
18-33,0.5,structural_token_ratio,0.051697897309613564,A1_alpha_0.5
18-33,0.75,structural_token_ratio,0.05078591189913083,A1_alpha_0.75
18-33,1.0,structural_token_ratio,0.04936480542251297,A1_alpha_1
18-33,1.5,structural_token_ratio,0.04884559971699596,A1_alpha_1.5
18-33,2.0,structural_token_ratio,0.06314216533086849,A1_alpha_2
18-33,3.0,structural_token_ratio,0.5342469796908415,A1_alpha_3
18-33,5.0,structural_token_ratio,0.8785148500786437,A1_alpha_5
20-31,-5.0,structural_token_ratio,0.03494154063645055,A1_alpha_-5
20-31,-3.0,structural_token_ratio,0.04301104028942737,A1_alpha_-3
20-31,-2.0,structural_token_ratio,0.045633131053089346,A1_alpha_-2
20-31,-1.0,structural_token_ratio,0.05063730225847142,A1_alpha_-1
20-31,-0.5,structural_token_ratio,0.05006594637805157,A1_alpha_-0.5
20-31,0.0,structural_token_ratio,0.053812388560694265,A1_alpha_0
20-31,0.25,structural_token_ratio,0.052907757066350515,A1_alpha_0.25
20-31,0.5,structural_token_ratio,0.05233563487820969,A1_alpha_0.5
20-31,0.75,structural_token_ratio,0.0501071733143612,A1_alpha_0.75
20-31,1.0,structural_token_ratio,0.04936480542251297,A1_alpha_1
20-31,1.5,structural_token_ratio,0.04858536559001067,A1_alpha_1.5
20-31,2.0,structural_token_ratio,0.047583712511020726,A1_alpha_2
20-31,3.0,structural_token_ratio,0.15428123395593454,A1_alpha_3
20-31,5.0,structural_token_ratio,0.548492989092836,A1_alpha_5
20-33,-5.0,structural_token_ratio,0.07420124863328822,A1_alpha_-5
20-33,-3.0,structural_token_ratio,0.11532051125805395,A1_alpha_-3
20-33,-2.0,structural_token_ratio,0.08286607812255417,A1_alpha_-2
20-33,-1.0,structural_token_ratio,0.05820743228754906,A1_alpha_-1
20-33,-0.5,structural_token_ratio,0.05777577535148522,A1_alpha_-0.5
20-33,0.0,structural_token_ratio,0.055490334978815524,A1_alpha_0
20-33,0.25,structural_token_ratio,0.05330885390088437,A1_alpha_0.25
20-33,0.5,structural_token_ratio,0.05207729132521362,A1_alpha_0.5
20-33,0.75,structural_token_ratio,0.05145884919977041,A1_alpha_0.75
20-33,1.0,structural_token_ratio,0.04936480542251297,A1_alpha_1
20-33,1.5,structural_token_ratio,0.04801714226800333,A1_alpha_1.5
20-33,2.0,structural_token_ratio,0.05197288581443609,A1_alpha_2
20-33,3.0,structural_token_ratio,0.3180104277770967,A1_alpha_3
20-33,5.0,structural_token_ratio,0.5825949971730923,A1_alpha_5
22-33,-5.0,structural_token_ratio,0.11919390855229854,A1_alpha_-5
22-33,-3.0,structural_token_ratio,0.1062343191834416,A1_alpha_-3
22-33,-2.0,structural_token_ratio,0.14315668026817263,A1_alpha_-2
22-33,-1.0,structural_token_ratio,0.1120133267174171,A1_alpha_-1
22-33,-0.5,structural_token_ratio,0.08585588739547048,A1_alpha_-0.5
22-33,0.0,structural_token_ratio,0.05957628837349096,A1_alpha_0
22-33,0.25,structural_token_ratio,0.0544304071244741,A1_alpha_0.25
22-33,0.5,structural_token_ratio,0.05289701052026784,A1_alpha_0.5
22-33,0.75,structural_token_ratio,0.05169738496607483,A1_alpha_0.75
22-33,1.0,structural_token_ratio,0.04936480542251297,A1_alpha_1
22-33,1.5,structural_token_ratio,0.04756593357299307,A1_alpha_1.5
22-33,2.0,structural_token_ratio,0.048698339954342425,A1_alpha_2
22-33,3.0,structural_token_ratio,0.14828340102428306,A1_alpha_3
22-33,5.0,structural_token_ratio,0.2998966880227665,A1_alpha_5
