mode,model,event_kind,effect,metric,n,mean,ci_low,ci_high
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,0.002641035810920405,0.0024802670939802532,0.002815181871444867
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,-6.875975672247376e-05,-0.00010791678816593927,-2.9681270731053345e-05
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,-0.0006880128545126891,-0.0007418541120264331,-0.0006369775469447005
native,gemma3_4b,first_nonformat_diff,late_weight_effect:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,late_interaction:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:opposition_support_it_token,opposition_support_it_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,late_weight_effect:opposition_support_pt_token,opposition_support_pt_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:opposition_support_pt_token,opposition_support_pt_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,late_interaction:opposition_support_pt_token,opposition_support_pt_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:opposition_support_pt_token,opposition_support_pt_token,290,0.0,0.0,0.0
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:opposition_support_pt_token,opposition_support_pt_token,290,0.0,0.0,0.0
